Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0732497,2020-10-02,2020-11-03,"Darryl","Craig Robinson","This Is the End","October 25, 1971"
2,nm2608689,2020-10-02,2020-11-03,"Erin","Ellie Kemper","Bridesmaids","May 2, 1980"
3,nm1145983,2020-10-02,2020-11-03,"Ryan","B.J. Novak","Vengeance","July 31, 1979"
4,nm1526554,2020-10-02,2020-11-03,"Angela","Angela Kinsey","The Office","June 25, 1971"
5,nm1159180,2020-10-02,2020-11-03,"Andy","Ed Helms","The Hangover","January 24, 1974"
6,nm1411676,2020-10-02,2020-11-03,"Kelly","Mindy Kaling","The Office","June 24, 1979"
7,nm0281212,2020-10-02,2020-11-03,"Meredith","Kate Flannery","The Office","June 10, 1964"
8,nm0105588,2020-10-02,2020-11-03,"Creed","Creed Bratton","The Office","February 8, 1943"
9,nm1534715,2020-10-02,2020-11-03,"Stanley","Leslie David Baker","The Office","February 19, 1958"
10,nm0278979,2020-10-02,2020-11-03,"Pam","Jenna Fischer","The Office","March 7, 1974"
11,nm1386645,2020-10-02,2020-11-03,"Oscar","Oscar Nuñez","The Proposal","November 18, 1958"
12,nm1024677,2020-10-02,2020-11-03,"Jim","John Krasinski","Jack Ryan","October 20, 1979"
13,nm1580911,2020-10-02,2020-11-03,"Kevin","Brian Baumgartner","The Office","November 29"
14,nm0933988,2020-10-02,2020-11-03,"Dwight","Rainn Wilson","The Office","January 20, 1966"
15,nm0136797,2020-10-02,2020-11-03,"Michael","Steve Carell","The Office","August 16, 1962"
16,nm0809613,2020-10-02,2020-11-03,"Phyllis","Phyllis Smith","Inside Out","August 15, 1949"
17,nm0509425,2020-10-03,2020-11-03,"Toby","Paul Lieberstein","The Office","February 22, 1967"
